;Bauland;Grünland;Gewässer;Verkehr
1. Innere Stadt;141,6;27,3;3,1;114,9
2. Leopoldstadt;434,4;671,5;403,5;414,7
3. Landstraße;416,1;108,8;0,5;214,4
4. Wieden;114,2;17,9;–;45,4
5. Margareten;129,3;8,8;–;63
6. Mariahilf;96,5;3,1;2,3;43,6
7. Neubau;116,8;3,6;–;40,4
8. Josefstadt;76,3;2;–;30,7
9. Alsergrund;179,4;22,5;–;94,9
10. Favoriten;1119,1;1426,7;42,8;594,2
11. Simmering;850,5;926,3;46,3;502,5
12. Meidling;488,2;102;–;220,1
13. Hietzing;882;2650,4;15,2;223,9
14. Penzing;994,9;2024,6;45,4;311,3
15. Rudolfsheim-Fünfhaus;218,6;33,6;3,8;135,8
16. Ottakring;450,2;261,4;–;155,7
17. Hernals;408,5;601,7;3,7;125,3
18. Währing;356,3;171,3;–;107,1
19. Döbling;906,3;1190,6;110,4;287,1
20. Brigittenau;204,9;51,6;118,4;196,2
21. Floridsdorf;1885,7;1762,7;150,7;645,2
22. Donaustadt;2755,4;5582,9;920,2;971,5
23. Liesing;1727,2;952,6;42,9;483,5
